num_workers,time,partition_size
1.0,1.1117637634277344,6.778499999999999
2.0,0.8195240020751953,3.4149000000000003
3.0,0.7357232332229614,2.2773
4.0,0.7232689380645752,1.7081
5.0,0.7375946760177612,1.3555999999999997
6.0,0.7682486534118652,1.1307000000000003
7.0,0.7640876531600952,0.9618
8.0,0.7513441801071167,0.8506
9.0,0.7795052766799927,0.7587
10.0,0.8141436100006103,0.6807
11.0,0.8003325223922729,0.6195000000000002
12.0,0.8441393852233887,0.5697
13.0,0.8490614175796509,0.5258000000000002
14.0,0.9322290658950806,0.48739999999999994
15.0,0.8824400186538697,0.45729999999999993
